headline,sentiment
Elon Musk makes offer to buy Twitter,+0.2
"Elon Musk buys 9.2% stake in Twitter, making him the largest shareholder | CNN Business",+0.3
"Elon Musk says his offer to buy Twitter is about ‘the future of civilization,’ not making money | CNN Business",+0.1
Twitter Accepts Elon Musk’s Offer to Buy Company in $44 Billion Deal,+0.6
Jack Dorsey says Elon Musk is the 'singular solution I trust' to run Twitter,+0.2
Why Elon Musk’s Twitter Won’t Be What Fans or Critics Expect,-0.1
Elon Musk would reverse Donald Trump's Twitter ban,0.0
Elon Musk puts Twitter deal on hold over fake account details,-0.5
"If Elon Musk restores Trump’s Twitter account, it could pave the way for other platforms to do the same | CNN Business",-0.1
Elon Musk says Twitter deal can’t happen until bot account dispute is resolved | CNN Business,-0.4
Twitter shareholders sue Elon Musk and Twitter over chaotic deal,-0.6
Elon Musk Threatens to End Twitter Deal Over Lack of Information on Spam Accounts,-0.7
Elon Musk threatens to walk away from Twitter deal,-0.7
"Elon Musk Got Twitter’s Data Dump, Next Comes the Hard Part",-0.2
Elon Musk notifies Twitter he is terminating deal,-0.9
Elon Musk Seeks to Abandon $44 Billion Twitter Deal,-0.9
Musk tells Twitter he wants out of deal to buy it. Twitter says it will force him to close the sale | CNN Business,-0.6
Twitter shares fall as Elon Musk backs out of deal,-0.8
Twitter’s legal team calls Elon Musk’s attempt to exit acquisition deal ‘invalid and wrongful’ | CNN Business,-0.5
Twitter Sues Elon Musk to Enforce $44 Billion Merger,-0.4
Twitter sues Elon Musk to enforce original merger agreement,-0.4
The High-Profile Attorneys Backing Twitter and Elon Musk,0.0
"Twitter misses earnings expectations, partially blames revenue drop on Elon Musk takeover bid",-0.6
Twitter shares rise as company announces it approved Musk's $44 billion acquisition bid,+0.4
Elon Musk under federal investigation over Twitter deal,-0.7
Elon Musk claims he's buying Twitter to 'help humanity',+0.1
"Billionaire Elon Musk steps into Twitter HQ, sink in hand",0.0
"WSJ News Exclusive | Elon Musk Says Twitter Won’t Be ‘Free-for-All Hellscape,’ Addressing Advertisers’ Concerns",+0.2
Elon Musk takes control of Twitter in $44bn deal,+0.3
Twitter confirms completion of Elon Musk’s $44 billion acquisition deal | CNN Business,+0.3
Elon Musk has taken control of Twitter and fired its top executives | CNN Business,-0.2
Elon Musk now owns Twitter. Here’s what he could change | CNN Business,0.0
Elon Musk will have to pay three fired Twitter executives nearly $200 million | CNN Business,-0.3
Elon Musk has pulled more than 50 Tesla employees into his Twitter takeover,-0.4
