disparity_function	individual: SVB Collapse	collective: SVB Collapse	finbert: SVD Collapse	individual: Russia's Invasion on Ukraine	collective: Russia's Invasion on Ukraine	finbert: Russia's Invasion on Ukraine	individual: Elon Musk's Twitter acquisition
conflict_index	3	3	4	1	1	3	
conflict_index_normalized	4	5	5	2	2	5	
iqr_dispersion	10	9	7	9	9	9	
iqr_dispersion_normalized	7	7	6	5	6	7	
median_dispersion	9	10	10	10	10	10	
median_dispersion_normalized	6	8	9	7	7	8	
range_dispersion	1	2	1	6	3	1	
range_dispersion_normalized	2	1	2	3	4	2	
std_dispersion	8	6	8	8	8	6	
std_dispersion_normalized	5	4	3	4	5	4	
