Date,Close,High,Low,Open,Volume
1/2/2020,12.47000027,13.72000027,12.42000008,13.46000004,0
1/3/2020,14.02000046,16.20000076,13.13000011,15.01000023,0
1/6/2020,13.85000038,16.38999939,13.53999996,15.44999981,0
1/7/2020,13.78999996,14.46000004,13.39000034,13.84000015,0
1/8/2020,13.44999981,15.23999977,12.82999992,15.15999985,0
1/9/2020,12.53999996,13.23999977,12.52999973,12.94999981,0
1/10/2020,12.56000042,12.86999989,12.09000015,12.42000008,0
1/13/2020,12.31999969,13.09000015,12.31999969,12.84000015,0
1/14/2020,12.39000034,13.81999969,12.05000019,12.72000027,0
1/15/2020,12.42000008,12.82999992,11.94999981,12.78999996,0
1/16/2020,12.31999969,12.42000008,11.77999973,12.19999981,0
1/17/2020,12.10000038,12.47999954,11.75,12.21000004,0
1/21/2020,12.85000038,13.32999992,12.31999969,13.22999954,0
1/22/2020,12.90999985,13.01000023,12.31000042,12.44999981,0
1/23/2020,12.97999954,14.14999962,12.93999958,13.26000023,0
1/24/2020,14.56000042,15.97999954,12.61999989,12.75,0
1/27/2020,18.22999954,19.02000046,16.81999969,17.42000008,0
1/28/2020,16.28000069,18.03000069,15.68999958,16.94000053,0
1/29/2020,16.38999939,16.64999962,14.93999958,15.68000031,0
1/30/2020,15.48999977,18.38999939,15.30000019,17.81999969,0
1/31/2020,18.84000015,19.98999977,16.18000031,16.25,0
2/3/2020,17.96999931,18.87999916,17.10000038,18.63999939,0
2/4/2020,16.04999924,16.45999908,15.63000011,16.45000076,0
2/5/2020,15.14999962,16.31999969,15.02000046,16.29000092,0
2/6/2020,14.96000004,15.65999985,14.69999981,15.13000011,0
2/7/2020,15.47000027,16.15999985,14.81000042,15.06999969,0
2/10/2020,15.03999996,16.43000031,15.01000023,15.88000011,0
2/11/2020,15.18000031,15.27000046,14.38000011,14.90999985,0
2/12/2020,13.73999977,14.88000011,13.72999954,14.85999966,0
2/13/2020,14.14999962,15.43999958,14,14.43000031,0
2/14/2020,13.68000031,14.53999996,13.38000011,14.11999989,0
2/18/2020,14.82999992,15.48999977,14.52999973,14.97999954,0
2/19/2020,14.38000011,14.73999977,14.21000004,14.65999985,0
2/20/2020,15.56000042,17.20999908,14.48999977,14.53999996,0
2/21/2020,17.07999992,18.20999908,16.19000053,17.32999992,0
2/24/2020,25.03000069,26.35000038,22,22.25,0
2/25/2020,27.85000038,30.25,22.19000053,22.19000053,0
2/26/2020,27.55999947,29.56999969,24.76000023,26.62999916,0
2/27/2020,39.15999985,39.31000137,27.79000092,28.95000076,0
2/28/2020,40.11000061,49.47999954,39.36999893,42.02000046,0
3/2/2020,33.41999817,40.40999985,31.5,38.54000092,0
3/3/2020,36.81999969,41.06000137,24.93000031,33.65000153,0
3/4/2020,31.98999977,35.58000183,30.29999924,34.43999863,0
3/5/2020,39.61999893,42.84000015,33.54000092,33.61000061,0
3/6/2020,41.93999863,54.38999939,40.84000015,48.93000031,0
3/9/2020,54.45999908,62.11999893,41.93999863,41.93999863,0
3/10/2020,47.29999924,55.65999985,43.56000137,49.68000031,0
3/11/2020,53.90000153,55.81999969,49.97999954,52.24000168,0
3/12/2020,75.47000122,76.83000183,59.90999985,61.45999908,0
3/13/2020,57.83000183,77.56999969,55.16999817,71.30999756,0
3/16/2020,82.69000244,83.55999756,57.83000183,57.83000183,0
3/17/2020,75.91000366,84.83000183,70.37000275,82.69000244,0
3/18/2020,76.44999695,85.47000122,69.37000275,69.37000275,0
3/19/2020,72,84.26000214,68.56999969,80.62000275,0
3/20/2020,66.04000092,69.51000214,57.41999817,67.86000061,0
