model,disparity_function,value
sentiment,range_dispersion,0.9552347850985825
sentiment,std_dispersion,0.49239164380961753
sentiment,conflict_index,0.735907931104814
sentiment,median_dispersion,0.3603656552731991
sentiment,iqr_dispersion,0.40348029928281903
sentiment,range_dispersion_normalized,0.7577354993150234
sentiment,std_dispersion_normalized,0.6282949161347164
sentiment,conflict_index_normalized,0.6480720723181392
sentiment,median_dispersion_normalized,0.4603009344023317
sentiment,iqr_dispersion_normalized,0.4818582564071417
sentiment,polarization_uncertainty,0.7802450292813847
sentiment,disagreement_index,0.6282949161347164
sentiment,entropy_disparity,0.8888034918244363
sentiment,consensus_uncertainty,0.7359079311048139
sentiment,hybrid_uncertainty,0.5975424017053272
sentiment,sentiment_uncertainty,0.6282949161347164
sentiment,compute_uncertainty,0.6367671852308705
sentiment,uncertainty_type_1,0.2813079838648556
sentiment,uncertainty_type_2,0.5689170791810746
