,model,disparity_function,Overall Dataset
0,finbert_sentiment,compute_uncertainty,0.637
1,finbert_sentiment,conflict_index,0.736
2,finbert_sentiment,conflict_index_normalized,0.648
3,finbert_sentiment,consensus_uncertainty,0.736
4,finbert_sentiment,disagreement_index,0.628
5,finbert_sentiment,entropy_disparity,0.889
6,finbert_sentiment,hybrid_uncertainty,0.598
7,finbert_sentiment,iqr_dispersion,0.403
8,finbert_sentiment,iqr_dispersion_normalized,0.482
9,finbert_sentiment,median_dispersion,0.36
10,finbert_sentiment,median_dispersion_normalized,0.46
11,finbert_sentiment,polarization_uncertainty,0.78
12,finbert_sentiment,range_dispersion,0.955
13,finbert_sentiment,range_dispersion_normalized,0.758
14,finbert_sentiment,sentiment_uncertainty,0.628
15,finbert_sentiment,std_dispersion,0.492
16,finbert_sentiment,std_dispersion_normalized,0.628
17,finbert_sentiment,uncertainty_type_1,0.281
18,finbert_sentiment,uncertainty_type_2,0.569
